Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,31435,22614,22094,520,71.94%
0298,955,655,642,13,68.59%
0299,871,597,580,17,68.54%
0300,655,475,466,9,72.52%
0301,830,614,595,19,73.98%
0302,903,642,637,5,71.10%
0303,1005,638,634,4,63.48%
0304,1105,815,788,27,73.76%
0305,749,493,475,18,65.82%
0306,736,531,518,13,72.15%
0307,931,723,708,15,77.66%
0308,923,677,660,17,73.35%
0309,912,612,600,12,67.11%
0310,987,697,689,8,70.62%
0311,964,659,648,11,68.36%
0312,1192,825,808,17,69.21%
0313,687,466,456,10,67.83%
0314,860,599,583,16,69.65%
0315,820,612,606,6,74.63%
0316,892,689,671,18,77.24%
0317,1192,939,918,21,78.78%
0318,692,456,450,6,65.90%
0319,919,658,644,14,71.60%
0320,822,617,606,11,75.06%
0321,886,694,679,15,78.33%
0322,619,447,437,10,72.21%
0323,485,322,312,10,66.39%
0324,860,614,595,19,71.40%
0325,1065,786,759,27,73.80%
0326,415,299,293,6,72.05%
0327,837,656,643,13,78.38%
0328,574,435,425,10,75.78%
0329,1092,790,772,18,72.34%
0330,813,603,584,19,74.17%
0331,809,617,590,27,76.27%
0332,707,489,480,9,69.17%
0333,723,494,489,5,68.33%
0334,948,679,654,25,71.62%
