Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,80911,55726,54815,911,68.87%
0001,871,625,607,18,71.76%
0002,601,472,463,9,78.54%
0003,720,502,497,5,69.72%
0004,801,571,563,8,71.29%
0005,471,353,348,5,74.95%
0006,534,367,359,8,68.73%
0007,329,261,253,8,79.33%
0008,881,606,595,11,68.79%
0009,1054,627,618,9,59.49%
0010,1148,782,771,11,68.12%
0011,1113,767,761,6,68.91%
0012,880,585,580,5,66.48%
0013,993,627,621,6,63.14%
0014,980,677,665,12,69.08%
0015,625,416,409,7,66.56%
0016,1004,714,705,9,71.12%
0017,1093,768,753,15,70.27%
0018,947,643,627,16,67.90%
0019,1070,770,755,15,71.96%
0020,933,637,625,12,68.27%
0021,1133,780,760,20,68.84%
0022,1177,705,697,8,59.90%
0023,957,579,570,9,60.50%
0024,836,547,544,3,65.43%
0025,886,623,614,9,70.32%
0026,1143,807,792,15,70.60%
0027,923,608,598,10,65.87%
0028,1165,715,709,6,61.37%
0029,556,407,402,5,73.20%
0030,714,559,552,7,78.29%
0031,684,524,509,15,76.61%
0032,982,727,715,12,74.03%
0033,1265,873,851,22,69.01%
0034,1361,971,947,24,71.34%
0035,1465,956,943,13,65.26%
0036,347,236,234,2,68.01%
0037,1103,818,808,10,74.16%
0038,1235,902,887,15,73.04%
0039,893,645,636,9,72.23%
0040,895,630,627,3,70.39%
0041,982,674,659,15,68.64%
0042,1018,704,699,5,69.16%
0043,1063,740,723,17,69.61%
0044,806,572,567,5,70.97%
0045,615,460,454,6,74.80%
0046,944,627,615,12,66.42%
0047,1166,750,739,11,64.32%
0048,1122,722,713,9,64.35%
0049,1119,746,736,10,66.67%
0050,1046,785,773,12,75.05%
0051,1095,792,769,23,72.33%
0052,1049,763,751,12,72.74%
0053,472,343,336,7,72.67%
0054,916,618,613,5,67.47%
0055,793,514,497,17,64.82%
0056,660,439,435,4,66.52%
0057,1296,977,961,16,75.39%
0058,1200,837,822,15,69.75%
0059,1355,915,892,23,67.53%
0060,987,703,691,12,71.23%
0061,1259,865,853,12,68.71%
0062,1136,750,736,14,66.02%
0063,1024,686,680,6,66.99%
0064,1095,805,799,6,73.52%
0065,1010,698,687,11,69.11%
0066,1010,621,612,9,61.49%
0067,1028,720,708,12,70.04%
0068,1054,703,696,7,66.70%
0069,1136,704,697,7,61.97%
0070,1033,680,670,10,65.83%
0071,1174,760,751,9,64.74%
0072,1288,779,764,15,60.48%
0073,1383,903,895,8,65.29%
0074,800,578,572,6,72.25%
0075,1020,691,685,6,67.75%
0076,930,637,617,20,68.49%
0077,1034,664,653,11,64.22%
0078,928,665,648,17,71.66%
0079,958,698,692,6,72.86%
0080,997,681,657,24,68.30%
0081,738,583,570,13,79.00%
0082,582,434,426,8,74.57%
0083,951,682,664,18,71.71%
0084,871,676,668,8,77.61%
