Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,65233,43154,42437,717,66.15%
0085,739,475,458,17,64.28%
0086,758,508,502,6,67.02%
0087,974,643,640,3,66.02%
0088,1275,835,824,11,65.49%
0089,1215,801,792,9,65.93%
0090,1224,777,763,14,63.48%
0091,818,509,501,8,62.22%
0092,1268,766,749,17,60.41%
0093,1275,794,789,5,62.27%
0094,1355,796,785,11,58.75%
0095,1278,827,815,12,64.71%
0096,1111,714,701,13,64.27%
0097,1170,699,690,9,59.74%
0098,491,338,330,8,68.84%
0099,916,633,619,14,69.10%
0100,969,621,610,11,64.09%
0101,1069,759,747,12,71.00%
0102,1054,713,703,10,67.65%
0103,822,510,507,3,62.04%
0104,911,568,560,8,62.35%
0105,1100,734,724,10,66.73%
0106,744,544,536,8,73.12%
0107,1178,624,614,10,52.97%
0108,1198,784,770,14,65.44%
0109,914,610,608,2,66.74%
0110,1098,724,717,7,65.94%
0111,1000,688,678,10,68.80%
0112,981,646,633,13,65.85%
0113,1004,619,605,14,61.65%
0114,1051,705,693,12,67.08%
0115,1024,707,692,15,69.04%
0116,981,641,633,8,65.34%
0117,716,504,500,4,70.39%
0118,926,660,652,8,71.27%
0119,1129,670,658,12,59.34%
0120,892,535,528,7,59.98%
0121,402,253,248,5,62.94%
0122,1066,712,702,10,66.79%
0123,1023,642,631,11,62.76%
0124,1075,715,702,13,66.51%
0125,1196,756,739,17,63.21%
0126,1245,774,758,16,62.17%
0127,972,716,707,9,73.66%
0128,903,520,516,4,57.59%
0129,909,543,540,3,59.74%
0130,991,654,645,9,65.99%
0131,845,535,525,10,63.31%
0132,979,583,574,9,59.55%
0133,975,565,551,14,57.95%
0134,896,680,668,12,75.89%
0135,957,658,643,15,68.76%
0136,271,174,173,1,64.21%
0137,1288,892,873,19,69.25%
0138,653,456,449,7,69.83%
0139,704,436,434,2,61.93%
0140,720,542,523,19,75.28%
0141,878,616,611,5,70.16%
0142,913,661,645,16,72.40%
0143,368,259,254,5,70.38%
0144,637,503,495,8,78.96%
0145,928,732,724,8,78.88%
0146,1261,949,917,32,75.26%
0147,291,194,187,7,66.67%
0148,1082,725,712,13,67.01%
0149,545,400,393,7,73.39%
0150,922,677,667,10,73.43%
0151,890,632,615,17,71.01%
0152,868,656,644,12,75.58%
0153,952,663,646,17,69.64%
