Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12214,9330,9126,204,76.39%
0470,860,674,658,16,78.37%
0471,348,257,242,15,73.85%
0472,817,597,583,14,73.07%
0473,463,321,319,2,69.33%
0474,309,237,235,2,76.70%
0475,47,27,27,0,57.45%
0476,936,729,717,12,77.88%
0477,631,504,483,21,79.87%
0478,590,448,439,9,75.93%
0479,601,470,456,14,78.20%
0480,360,275,272,3,76.39%
0481,372,259,255,4,69.62%
0482,504,399,385,14,79.17%
0483,312,200,196,4,64.10%
0484,169,75,75,0,44.38%
0485,607,499,484,15,82.21%
0486,378,300,293,7,79.37%
0487,128,94,94,0,73.44%
0488,627,463,451,12,73.84%
0489,793,619,611,8,78.06%
0490,858,661,646,15,77.04%
0491,687,544,532,12,79.18%
0492,428,335,331,4,78.27%
0493,389,343,342,1,88.17%
