Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14350,10709,10514,195,74.63%
0426,688,480,470,10,69.77%
0427,498,356,346,10,71.49%
0428,910,633,624,9,69.56%
0429,558,408,405,3,73.12%
0430,842,657,644,13,78.03%
0431,395,284,281,3,71.90%
0432,417,327,320,7,78.42%
0433,601,476,469,7,79.20%
0434,978,714,705,9,73.01%
0435,698,519,515,4,74.36%
0436,789,594,580,14,75.29%
0437,866,634,629,5,73.21%
0438,729,550,535,15,75.45%
0439,549,421,419,2,76.68%
0440,809,585,569,16,72.31%
0441,1127,805,787,18,71.43%
0442,179,129,125,4,72.07%
0443,306,260,256,4,84.97%
0444,1040,813,794,19,78.17%
0445,267,197,195,2,73.78%
0446,300,240,238,2,80.00%
0447,804,627,608,19,77.99%
