Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12536,9287,9078,209,74.08%
0448,526,383,378,5,72.81%
0449,584,406,399,7,69.52%
0450,298,225,220,5,75.50%
0451,462,332,322,10,71.86%
0452,383,290,285,5,75.72%
0453,296,225,218,7,76.01%
0454,610,417,409,8,68.36%
0455,569,445,432,13,78.21%
0456,623,455,442,13,73.03%
0457,668,513,501,12,76.80%
0458,951,680,654,26,71.50%
0459,501,417,412,5,83.23%
0460,915,739,720,19,80.77%
0461,460,351,347,4,76.30%
0462,462,353,349,4,76.41%
0463,138,106,104,2,76.81%
0464,950,707,684,23,74.42%
0465,885,617,604,13,69.72%
0466,243,146,142,4,60.08%
0467,888,609,600,9,68.58%
0468,575,438,429,9,76.17%
0469,549,433,427,6,78.87%
