Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,13026,9180,9009,171,70.47%
0380,864,596,582,14,68.98%
0381,1000,689,677,12,68.90%
0382,697,484,475,9,69.44%
0383,814,584,567,17,71.74%
0384,467,336,326,10,71.95%
0385,545,390,384,6,71.56%
0386,564,414,403,11,73.40%
0387,623,452,447,5,72.55%
0388,281,216,215,1,76.87%
0389,491,389,384,5,79.23%
0390,189,146,144,2,77.25%
0391,784,460,448,12,58.67%
0392,264,173,171,2,65.53%
0393,250,150,149,1,60.00%
0394,260,179,173,6,68.85%
0395,330,224,222,2,67.88%
0396,509,371,369,2,72.89%
0397,161,112,111,1,69.57%
0398,533,326,321,5,61.16%
0399,393,223,220,3,56.74%
0400,779,594,581,13,76.25%
0401,824,642,630,12,77.91%
0402,374,263,256,7,70.32%
0403,499,385,380,5,77.15%
0404,314,231,226,5,73.57%
0405,217,151,148,3,69.59%
