Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12338,9332,9155,177,75.64%
0356,753,573,562,11,76.10%
0357,234,170,168,2,72.65%
0358,206,139,136,3,67.48%
0359,325,248,245,3,76.31%
0360,399,280,271,9,70.18%
0361,355,262,261,1,73.80%
0362,292,213,212,1,72.95%
0363,607,412,406,6,67.87%
0364,276,204,201,3,73.91%
0365,933,709,695,14,75.99%
0366,726,545,540,5,75.07%
0367,596,437,428,9,73.32%
0368,471,352,349,3,74.73%
0369,306,233,226,7,76.14%
0370,984,722,706,16,73.37%
0371,420,327,308,19,77.86%
0372,575,398,393,5,69.22%
0373,832,661,649,12,79.45%
0374,420,295,289,6,70.24%
0375,651,526,521,5,80.80%
0376,452,361,354,7,79.87%
0377,603,502,492,10,83.25%
0378,440,391,382,9,88.86%
0379,482,372,361,11,77.18%
