Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,44332,29826,29162,664,67.28%
0231,1100,741,733,8,67.36%
0232,770,540,521,19,70.13%
0233,573,420,412,8,73.30%
0234,844,565,558,7,66.94%
0235,1113,714,701,13,64.15%
0236,1178,750,736,14,63.67%
0237,1338,934,919,15,69.81%
0238,1077,694,688,6,64.44%
0239,1016,641,625,16,63.09%
0240,1261,849,825,24,67.33%
0241,1043,687,679,8,65.87%
0242,1118,704,688,16,62.97%
0243,1239,810,792,18,65.38%
0244,1267,856,840,16,67.56%
0245,1007,648,639,9,64.35%
0246,463,318,310,8,68.68%
0247,668,434,426,8,64.97%
0248,863,620,609,11,71.84%
0249,1366,871,862,9,63.76%
0250,190,127,126,1,66.84%
0251,431,303,296,7,70.30%
0252,376,227,220,7,60.37%
0253,1387,887,861,26,63.95%
0254,1253,830,816,14,66.24%
0255,1042,660,647,13,63.34%
0256,1014,637,625,12,62.82%
0257,1273,845,831,14,66.38%
0258,997,645,637,8,64.69%
0259,1185,809,790,19,68.27%
0260,850,545,530,15,64.12%
0261,756,494,480,14,65.34%
0262,1255,805,784,21,64.14%
0263,896,610,601,9,68.08%
0264,517,368,358,10,71.18%
0265,794,524,503,21,65.99%
0266,1117,794,778,16,71.08%
0267,624,432,421,11,69.23%
0268,1261,871,846,25,69.07%
0269,1081,791,777,14,73.17%
0270,571,409,395,14,71.63%
0271,544,411,396,15,75.55%
0272,755,533,512,21,70.60%
0273,977,689,674,15,70.52%
0274,351,253,241,12,72.08%
0275,492,349,343,6,70.93%
0276,172,145,135,10,84.30%
0277,387,317,309,8,81.91%
0278,435,303,293,10,69.66%
0279,258,168,164,4,65.12%
0280,431,324,318,6,75.17%
0281,547,387,378,9,70.75%
0282,453,315,299,16,69.54%
0283,356,223,215,8,62.64%
