Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,8622,5087,4939,148,59.00%
0077,531,394,381,13,74.20%
0078,651,389,380,9,59.75%
0079,97,63,62,1,64.95%
0080,143,83,82,1,58.04%
0081,276,184,177,7,66.67%
0082,203,90,86,4,44.33%
0083,156,116,115,1,74.36%
0084,992,648,629,19,65.32%
0085,743,463,445,18,62.31%
0086,316,232,225,7,73.42%
0087,738,412,401,11,55.83%
0088,751,469,456,13,62.45%
0089,1383,703,686,17,50.83%
0090,1115,564,544,20,50.58%
0091,267,155,151,4,58.05%
0092,260,122,119,3,46.92%
