Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,13505,7897,7680,217,58.47%
0054,1218,695,681,14,57.06%
0055,367,191,188,3,52.04%
0056,233,174,171,3,74.68%
0057,284,210,209,1,73.94%
0058,656,340,329,11,51.83%
0059,322,236,224,12,73.29%
0060,751,450,429,21,59.92%
0061,816,368,362,6,45.10%
0062,927,505,488,17,54.48%
0063,121,93,93,0,76.86%
0064,774,481,474,7,62.14%
0065,226,160,157,3,70.80%
0066,607,260,254,6,42.83%
0067,289,211,205,6,73.01%
0068,409,258,255,3,63.08%
0069,362,227,218,9,62.71%
0070,87,73,69,4,83.91%
0071,914,473,456,17,51.75%
0072,1021,682,656,26,66.80%
0073,667,402,392,10,60.27%
0074,894,501,491,10,56.04%
0075,828,474,456,18,57.25%
0076,732,433,423,10,59.15%
