Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,52839,30603,29686,917,57.92%
0001,457,189,182,7,41.36%
0002,513,297,291,6,57.89%
0003,521,342,332,10,65.64%
0004,849,519,500,19,61.13%
0005,901,586,562,24,65.04%
0006,775,422,407,15,54.45%
0007,893,538,523,15,60.25%
0008,967,536,521,15,55.43%
0009,1135,638,617,21,56.21%
0010,1325,735,721,14,55.47%
0011,1376,835,818,17,60.68%
0012,1301,736,713,23,56.57%
0013,1205,673,654,19,55.85%
0014,1156,620,609,11,53.63%
0015,1336,761,745,16,56.96%
0016,1332,770,749,21,57.81%
0017,1130,619,603,16,54.78%
0018,1237,699,677,22,56.51%
0019,1477,918,883,35,62.15%
0020,1117,659,641,18,59.00%
0021,1399,855,835,20,61.12%
0022,1601,952,927,25,59.46%
0023,1446,510,484,26,35.27%
0024,959,539,517,22,56.20%
0025,1036,607,589,18,58.59%
0026,1120,593,575,18,52.95%
0027,1016,599,590,9,58.96%
0028,1106,651,627,24,58.86%
0029,1097,673,645,28,61.35%
0030,956,436,422,14,45.61%
0031,825,535,524,11,64.85%
0032,909,371,357,14,40.81%
0033,946,616,600,16,65.12%
0034,940,603,582,21,64.15%
0035,910,574,553,21,63.08%
0036,814,461,453,8,56.63%
0037,425,281,273,8,66.12%
0038,1163,741,721,20,63.71%
0039,955,586,566,20,61.36%
0040,647,408,394,14,63.06%
0041,1299,784,754,30,60.35%
0042,1054,685,666,19,64.99%
0043,659,422,412,10,64.04%
0044,1453,873,842,31,60.08%
0045,1083,636,624,12,58.73%
0046,741,481,462,19,64.91%
0047,905,569,555,14,62.87%
0048,453,217,210,7,47.90%
0049,375,271,259,12,72.27%
0050,1162,726,706,20,62.48%
0051,1313,823,796,27,62.68%
0052,777,240,233,7,30.89%
0053,292,193,185,8,66.10%
