Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,25500,17084,16544,540,67.00%
0298,1002,649,626,23,64.77%
0299,1629,999,980,19,61.33%
0300,1812,1144,1119,25,63.13%
0301,1740,1076,1048,28,61.84%
0302,935,622,606,16,66.52%
0303,920,635,619,16,69.02%
0304,703,464,452,12,66.00%
0305,1870,1084,1064,20,57.97%
0306,1041,727,709,18,69.84%
0307,1625,1062,1029,33,65.35%
0308,1111,716,692,24,64.45%
0309,710,528,512,16,74.37%
0310,1429,993,962,31,69.49%
0311,875,638,615,23,72.91%
0312,997,731,705,26,73.32%
0313,804,618,590,28,76.87%
0314,874,652,632,20,74.60%
0315,1352,917,874,43,67.83%
0316,1091,815,772,43,74.70%
0317,1196,819,780,39,68.48%
0318,1080,693,668,25,64.17%
0319,704,502,490,12,71.31%
