Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,45158,27669,27089,580,61.27%
0138,466,326,319,7,69.96%
0139,868,489,479,10,56.34%
0140,896,488,480,8,54.46%
0141,933,554,546,8,59.38%
0142,875,514,504,10,58.74%
0143,1006,501,495,6,49.80%
0144,555,377,367,10,67.93%
0145,843,566,554,12,67.14%
0146,1232,720,707,13,58.44%
0147,782,441,425,16,56.39%
0148,918,536,529,7,58.39%
0149,1198,751,738,13,62.69%
0150,1140,715,708,7,62.72%
0151,1075,652,639,13,60.65%
0152,970,555,547,8,57.22%
0153,1127,670,663,7,59.45%
0154,1039,623,613,10,59.96%
0155,1095,641,626,15,58.54%
0156,910,536,532,4,58.90%
0157,808,500,488,12,61.88%
0158,1183,698,681,17,59.00%
0159,1136,714,696,18,62.85%
0160,465,282,276,6,60.65%
0161,919,571,555,16,62.13%
0162,1191,771,755,16,64.74%
0163,1370,909,884,25,66.35%
0164,1248,754,735,19,60.42%
0165,1064,676,659,17,63.53%
0166,1368,852,822,30,62.28%
0167,1028,631,613,18,61.38%
0168,1032,607,597,10,58.82%
0169,1203,712,699,13,59.19%
0170,1098,626,611,15,57.01%
0171,1154,671,661,10,58.15%
0172,1307,726,709,17,55.55%
0173,1148,659,649,10,57.40%
0174,1122,658,646,12,58.65%
0175,1399,860,847,13,61.47%
0176,876,555,545,10,63.36%
0177,439,316,301,15,71.98%
0178,856,629,612,17,73.48%
0179,684,497,489,8,72.66%
0180,877,599,591,8,68.30%
0181,771,533,514,19,69.13%
0182,1145,749,728,21,65.41%
0183,339,259,255,4,76.40%
