Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,37785,25775,25200,575,68.21%
0184,920,645,631,14,70.11%
0185,987,666,656,10,67.48%
0186,670,479,474,5,71.49%
0187,724,502,487,15,69.34%
0188,1143,809,789,20,70.78%
0189,1020,654,642,12,64.12%
0190,997,649,643,6,65.10%
0191,990,650,640,10,65.66%
0192,1113,694,682,12,62.35%
0193,1233,837,826,11,67.88%
0194,1195,762,750,12,63.77%
0195,843,526,517,9,62.40%
0196,755,496,487,9,65.70%
0197,1295,918,899,19,70.89%
0198,885,622,604,18,70.28%
0199,889,625,611,14,70.30%
0200,747,491,480,11,65.73%
0201,760,487,477,10,64.08%
0202,1127,768,757,11,68.15%
0203,1253,883,852,31,70.47%
0204,902,640,621,19,70.95%
0205,980,672,659,13,68.57%
0206,750,492,481,11,65.60%
0207,668,463,451,12,69.31%
0208,903,597,583,14,66.11%
0209,1099,748,717,31,68.06%
0210,652,482,468,14,73.93%
0211,702,545,528,17,77.64%
0212,749,595,580,15,79.44%
0213,749,575,555,20,76.77%
0214,962,686,672,14,71.31%
0215,892,577,565,12,64.69%
0216,950,637,619,18,67.05%
0217,1099,711,693,18,64.70%
0218,1156,734,722,12,63.49%
0219,921,673,665,8,73.07%
0220,917,647,635,12,70.56%
0221,781,519,501,18,66.45%
0222,680,446,436,10,65.59%
0223,1030,738,717,21,71.65%
0224,697,435,428,7,62.41%
