Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,20021,13788,13311,477,68.87%
0502,1163,777,753,24,66.81%
0503,836,560,544,16,66.99%
0504,879,677,651,26,77.02%
0505,570,457,440,17,80.18%
0506,795,572,550,22,71.95%
0507,702,499,481,18,71.08%
0508,975,689,660,29,70.67%
0509,1015,735,707,28,72.41%
0510,1047,717,692,25,68.48%
0511,989,684,652,32,69.16%
0512,901,581,565,16,64.48%
0513,915,574,552,22,62.73%
0514,670,452,444,8,67.46%
0515,682,459,445,14,67.30%
0516,960,616,594,22,64.17%
0517,995,673,655,18,67.64%
0518,651,446,420,26,68.51%
0519,855,519,492,27,60.70%
0520,922,650,636,14,70.50%
0521,756,547,528,19,72.35%
0522,886,602,589,13,67.95%
0523,587,379,372,7,64.57%
0524,881,634,612,22,71.96%
0525,389,289,277,12,74.29%
