Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,20450,14731,14113,618,72.03%
0389,867,609,587,22,70.24%
0390,1171,830,805,25,70.88%
0391,1193,798,775,23,66.89%
0392,694,516,486,30,74.35%
0393,545,380,363,17,69.72%
0394,934,685,653,32,73.34%
0395,1109,830,788,42,74.84%
0396,572,420,396,24,73.43%
0397,728,572,550,22,78.57%
0398,599,384,363,21,64.11%
0399,1129,755,741,14,66.87%
0400,699,480,459,21,68.67%
0401,675,474,456,18,70.22%
0402,857,610,586,24,71.18%
0403,899,649,607,42,72.19%
0404,1179,899,861,38,76.25%
0405,1024,759,731,28,74.12%
0406,1069,819,773,46,76.61%
0407,968,709,674,35,73.24%
0408,1001,744,713,31,74.33%
0409,673,537,521,16,79.79%
0410,443,287,280,7,64.79%
0411,648,434,414,20,66.98%
0412,774,551,531,20,71.19%
