Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,24586,15437,14974,463,62.79%
0225,856,467,460,7,54.56%
0226,682,417,394,23,61.14%
0227,708,425,415,10,60.03%
0228,714,433,426,7,60.64%
0229,1069,661,639,22,61.83%
0230,1076,642,623,19,59.67%
0231,957,568,558,10,59.35%
0232,1006,591,578,13,58.75%
0233,832,534,523,11,64.18%
0234,476,296,286,10,62.18%
0235,465,378,366,12,81.29%
0236,979,652,629,23,66.60%
0237,915,632,603,29,69.07%
0238,1029,716,697,19,69.58%
0239,731,511,488,23,69.90%
0240,775,517,498,19,66.71%
0241,1068,714,694,20,66.85%
0242,1063,675,659,16,63.50%
0243,653,437,405,32,66.92%
0244,693,450,435,15,64.94%
0245,1129,665,652,13,58.90%
0246,925,548,534,14,59.24%
0247,1002,594,582,12,59.28%
0248,981,510,495,15,51.99%
0249,773,463,450,13,59.90%
0250,842,477,460,17,56.65%
0251,562,404,392,12,71.89%
0252,585,424,414,10,72.48%
0253,1040,636,619,17,61.15%
