Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,15949,10818,10475,343,67.83%
0595,1422,994,967,27,69.90%
0596,1270,868,830,38,68.35%
0597,723,567,541,26,78.42%
0598,884,631,614,17,71.38%
0599,854,567,550,17,66.39%
0600,895,631,606,25,70.50%
0601,955,661,644,17,69.21%
0602,798,574,551,23,71.93%
0603,1193,856,834,22,71.75%
0604,901,604,586,18,67.04%
0605,655,447,434,13,68.24%
0606,1104,755,735,20,68.39%
0607,1030,660,631,29,64.08%
0608,1015,651,637,14,64.14%
0609,1171,699,674,25,59.69%
0610,1079,653,641,12,60.52%
