Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,18614,13361,12863,498,71.78%
0330,1376,1001,965,36,72.75%
0331,1347,965,928,37,71.64%
0332,1609,1196,1156,40,74.33%
0333,1112,793,768,25,71.31%
0334,1198,796,763,33,66.44%
0335,968,723,697,26,74.69%
0336,562,400,388,12,71.17%
0337,631,469,450,19,74.33%
0338,1050,701,680,21,66.76%
0339,997,630,603,27,63.19%
0340,1156,801,778,23,69.29%
0341,705,453,439,14,64.26%
0342,1493,1037,986,51,69.46%
0343,1228,944,914,30,76.87%
0344,1699,1301,1240,61,76.57%
0345,1483,1151,1108,43,77.61%
