Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,21436,14862,14299,563,69.33%
0346,1637,1058,1018,40,64.63%
0347,1539,960,933,27,62.38%
0348,1470,1142,1104,38,77.69%
0349,1490,1047,1008,39,70.27%
0350,1053,688,673,15,65.34%
0351,822,606,586,20,73.72%
0352,1304,869,827,42,66.64%
0353,919,626,597,29,68.12%
0354,1044,693,659,34,66.38%
0355,1407,962,939,23,68.37%
0356,287,200,193,7,69.69%
0357,1167,852,818,34,73.01%
0358,927,687,658,29,74.11%
0359,1278,892,846,46,69.80%
0360,1454,1045,991,54,71.87%
0361,482,299,296,3,62.03%
0362,778,565,553,12,72.62%
0363,967,717,682,35,74.15%
0364,914,577,555,22,63.13%
0365,497,377,363,14,75.86%
