Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14623,10875,10558,317,74.37%
0567,641,478,473,5,74.57%
0568,700,537,524,13,76.71%
0569,839,648,633,15,77.23%
0570,647,489,476,13,75.58%
0571,971,750,725,25,77.24%
0572,1090,845,808,37,77.52%
0573,946,705,680,25,74.52%
0574,642,499,488,11,77.73%
0575,745,558,542,16,74.90%
0576,796,597,577,20,75.00%
0577,877,718,690,28,81.87%
0578,1189,904,870,34,76.03%
0579,711,512,498,14,72.01%
0580,988,738,725,13,74.70%
0581,1075,710,699,11,66.05%
0582,730,488,471,17,66.85%
0583,1036,699,679,20,67.47%
