Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,45452,26858,26091,767,59.09%
0432,1182,655,637,18,55.41%
0433,1283,701,681,20,54.64%
0434,1441,754,732,22,52.32%
0435,1504,832,808,24,55.32%
0436,1602,922,902,20,57.55%
0437,1198,788,762,26,65.78%
0438,526,338,331,7,64.26%
0439,1121,626,608,18,55.84%
0440,1007,577,557,20,57.30%
0441,1413,790,772,18,55.91%
0442,1408,780,759,21,55.40%
0443,1345,823,785,38,61.19%
0444,1375,766,747,19,55.71%
0445,1449,825,806,19,56.94%
0446,1085,658,642,16,60.65%
0447,994,635,616,19,63.88%
0448,999,547,538,9,54.75%
0449,714,471,466,5,65.97%
0450,818,547,538,9,66.87%
0451,906,535,519,16,59.05%
0452,883,523,508,15,59.23%
0453,514,332,324,8,64.59%
0454,1260,758,737,21,60.16%
0455,1219,747,730,17,61.28%
0456,1497,897,868,29,59.92%
0457,891,555,536,19,62.29%
0458,1029,638,611,27,62.00%
0459,1035,580,566,14,56.04%
0460,1139,599,586,13,52.59%
0461,1454,992,961,31,68.23%
0462,1154,690,672,18,59.79%
0463,1146,601,585,16,52.44%
0464,1272,707,694,13,55.58%
0465,962,468,451,17,48.65%
0466,736,500,481,19,67.93%
0467,843,541,531,10,64.18%
0468,796,504,482,22,63.32%
0469,1143,681,662,19,59.58%
0470,1150,730,698,32,63.48%
0471,1205,806,778,28,66.89%
0472,754,439,424,15,58.22%
