Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,161826,97345,94984,2361,60.15%
0001,852,543,527,16,63.73%
0002,744,486,475,11,65.32%
0003,827,575,556,19,69.53%
0004,721,500,489,11,69.35%
0005,858,577,563,14,67.25%
0006,685,461,446,15,67.30%
0007,1212,719,697,22,59.32%
0008,1201,711,694,17,59.20%
0009,1030,719,703,16,69.81%
0010,993,653,637,16,65.76%
0011,1110,805,769,36,72.52%
0012,1460,873,856,17,59.79%
0013,984,599,577,22,60.87%
0014,1244,698,683,15,56.11%
0015,1301,723,709,14,55.57%
0016,1420,803,777,26,56.55%
0017,1148,692,676,16,60.28%
0018,1261,776,768,8,61.54%
0019,1113,666,652,14,59.84%
0020,1166,663,653,10,56.86%
0021,1201,691,672,19,57.54%
0022,1259,686,671,15,54.49%
0023,1264,661,648,13,52.29%
0024,1249,802,786,16,64.21%
0025,1112,677,668,9,60.88%
0026,1128,673,663,10,59.66%
0027,955,570,550,20,59.69%
0028,1199,744,724,20,62.05%
0029,958,554,538,16,57.83%
0030,646,389,378,11,60.22%
0031,1360,760,735,25,55.88%
0032,1395,800,792,8,57.35%
0033,1436,808,792,16,56.27%
0034,1359,704,691,13,51.80%
0035,1357,798,786,12,58.81%
0036,1016,713,683,30,70.18%
0037,1429,949,920,29,66.41%
0038,1057,691,671,20,65.37%
0039,1307,797,777,20,60.98%
0040,1360,814,794,20,59.85%
0041,1313,831,815,16,63.29%
0042,1245,681,661,20,54.70%
0043,1203,677,666,11,56.28%
0044,1313,763,748,15,58.11%
0045,1382,827,814,13,59.84%
0046,1235,745,729,16,60.32%
0047,1345,774,751,23,57.55%
0048,1344,741,728,13,55.13%
0049,1286,775,758,17,60.26%
0050,1232,683,666,17,55.44%
0051,1341,886,868,18,66.07%
0052,1455,940,914,26,64.60%
0053,1398,866,829,37,61.95%
0054,1163,759,730,29,65.26%
0055,1232,711,692,19,57.71%
0056,1112,770,748,22,69.24%
0057,891,550,539,11,61.73%
0058,1024,638,614,24,62.30%
0059,1478,1104,1067,37,74.70%
0060,1213,863,841,22,71.15%
0061,1191,593,576,17,49.79%
0062,1397,904,888,16,64.71%
0063,1326,803,777,26,60.56%
0064,1244,693,680,13,55.71%
0065,1223,709,685,24,57.97%
0066,496,368,347,21,74.19%
0067,1083,773,756,17,71.38%
0068,828,483,475,8,58.33%
0069,889,564,546,18,63.44%
0070,1169,839,823,16,71.77%
0071,976,633,609,24,64.86%
0072,1475,1020,972,48,69.15%
0073,745,494,484,10,66.31%
0074,891,550,537,13,61.73%
0075,1169,678,668,10,58.00%
0076,1559,894,869,25,57.34%
0077,1115,705,688,17,63.23%
0078,665,451,429,22,67.82%
0079,1058,662,652,10,62.57%
0080,613,378,370,8,61.66%
0081,1423,910,894,16,63.95%
0082,1517,855,831,24,56.36%
0083,1442,829,814,15,57.49%
0084,1402,842,822,20,60.06%
0085,1306,803,791,12,61.49%
0086,1475,838,823,15,56.81%
0087,1476,872,861,11,59.08%
0088,1289,688,671,17,53.37%
0089,1302,747,732,15,57.37%
0090,1359,780,769,11,57.40%
0091,1182,675,665,10,57.11%
0092,1228,745,735,10,60.67%
0093,1350,768,754,14,56.89%
0094,1247,740,727,13,59.34%
0095,1282,704,688,16,54.91%
0096,1240,695,678,17,56.05%
0097,1407,826,818,8,58.71%
0098,1330,732,712,20,55.04%
0099,1124,581,570,11,51.69%
0100,1082,606,594,12,56.01%
0101,1052,549,534,15,52.19%
0102,1114,649,638,11,58.26%
0103,1332,766,756,10,57.51%
0104,1299,674,653,21,51.89%
0105,1550,1000,970,30,64.52%
0106,1275,719,703,16,56.39%
0107,1518,488,472,16,32.15%
0108,1341,743,730,13,55.41%
0109,1277,733,703,30,57.40%
0110,1408,776,756,20,55.11%
0111,810,481,474,7,59.38%
0112,1069,667,651,16,62.39%
0113,1208,728,715,13,60.26%
0114,1118,691,678,13,61.81%
0115,1126,684,664,20,60.75%
0116,1232,722,700,22,58.60%
0117,1030,576,570,6,55.92%
0118,1065,619,602,17,58.12%
0119,934,596,583,13,63.81%
0120,948,565,554,11,59.60%
0121,937,565,544,21,60.30%
0122,983,611,598,13,62.16%
0123,1164,669,647,22,57.47%
0124,1176,726,712,14,61.73%
0125,1131,642,632,10,56.76%
0126,1224,685,671,14,55.96%
0127,1193,695,677,18,58.26%
0128,1228,748,732,16,60.91%
0129,1017,589,571,18,57.92%
0130,1441,863,849,14,59.89%
0131,1341,741,726,15,55.26%
0132,1478,840,827,13,56.83%
0133,1292,864,841,23,66.87%
0134,828,664,639,25,80.19%
0135,1059,702,680,22,66.29%
0136,1511,1074,1040,34,71.08%
0137,960,704,688,16,73.33%
