Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,41883,29714,28787,927,70.95%
0254,1449,1038,1021,17,71.64%
0255,1155,858,829,29,74.29%
0256,876,643,627,16,73.40%
0257,995,708,687,21,71.16%
0258,992,699,672,27,70.46%
0259,518,430,419,11,83.01%
0260,1107,846,816,30,76.42%
0261,779,559,541,18,71.76%
0262,360,251,241,10,69.72%
0263,807,609,597,12,75.46%
0264,1092,705,689,16,64.56%
0265,1051,700,690,10,66.60%
0266,1071,731,707,24,68.25%
0267,697,494,477,17,70.88%
0268,551,368,366,2,66.79%
0269,1386,927,906,21,66.88%
0270,1036,706,683,23,68.15%
0271,1156,840,814,26,72.66%
0272,939,649,623,26,69.12%
0273,1053,743,719,24,70.56%
0274,818,552,528,24,67.48%
0275,767,530,518,12,69.10%
0276,786,594,579,15,75.57%
0277,865,620,590,30,71.68%
0278,972,690,677,13,70.99%
0279,926,660,634,26,71.27%
0280,836,534,517,17,63.88%
0281,814,624,607,17,76.66%
0282,712,579,568,11,81.32%
0283,1340,988,952,36,73.73%
0284,939,723,705,18,77.00%
0285,1289,922,898,24,71.53%
0286,798,669,645,24,83.83%
0287,1197,869,821,48,72.60%
0288,1456,1046,1012,34,71.84%
0289,920,696,662,34,75.65%
0290,804,549,532,17,68.28%
0291,1129,699,679,20,61.91%
0292,802,582,567,15,72.57%
0293,838,581,558,23,69.33%
0294,919,563,547,16,61.26%
0295,670,386,367,19,57.61%
0296,1004,745,722,23,74.20%
0297,1212,809,778,31,66.75%
