Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,16824,11273,10952,321,67.01%
0413,1148,803,775,28,69.95%
0414,687,447,436,11,65.07%
0415,869,597,587,10,68.70%
0416,712,502,489,13,70.51%
0417,854,580,567,13,67.92%
0418,511,378,366,12,73.97%
0419,1041,693,672,21,66.57%
0420,943,635,621,14,67.34%
0421,1360,860,836,24,63.24%
0422,792,432,419,13,54.55%
0423,784,456,444,12,58.16%
0424,944,563,550,13,59.64%
0425,956,577,561,16,60.36%
0426,786,506,491,15,64.38%
0427,822,567,545,22,68.98%
0428,1325,924,902,22,69.74%
0429,1176,910,874,36,77.38%
0430,556,436,424,12,78.42%
0431,558,407,393,14,72.94%
