Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,28962,20329,19704,625,70.19%
0526,776,561,540,21,72.29%
0527,798,561,543,18,70.30%
0528,1169,825,796,29,70.57%
0529,1241,873,847,26,70.35%
0530,1012,767,751,16,75.79%
0531,1089,814,789,25,74.75%
0532,796,641,620,21,80.53%
0533,779,545,531,14,69.96%
0534,1136,777,747,30,68.40%
0535,1080,809,787,22,74.91%
0536,1034,705,694,11,68.18%
0537,1083,799,784,15,73.78%
0538,949,686,668,18,72.29%
0539,1026,718,694,24,69.98%
0540,1156,809,778,31,69.98%
0541,1015,743,718,25,73.20%
0542,1002,668,651,17,66.67%
0543,825,540,522,18,65.45%
0544,672,458,442,16,68.15%
0545,1318,965,945,20,73.22%
0546,831,631,600,31,75.93%
0547,903,628,611,17,69.55%
0548,908,581,567,14,63.99%
0549,1360,864,834,30,63.53%
0550,775,514,495,19,66.32%
0551,870,601,588,13,69.08%
0552,1178,759,719,40,64.43%
0553,1042,706,690,16,67.75%
0554,1139,781,753,28,68.57%
