Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,21086,15751,15110,641,74.70%
0366,865,647,623,24,74.80%
0367,847,591,570,21,69.78%
0368,1021,731,694,37,71.60%
0369,1195,855,827,28,71.55%
0370,718,514,498,16,71.59%
0371,949,709,668,41,74.71%
0372,977,733,713,20,75.03%
0373,890,711,677,34,79.89%
0374,987,786,748,38,79.64%
0375,773,613,579,34,79.30%
0376,810,611,580,31,75.43%
0377,903,683,652,31,75.64%
0378,870,728,705,23,83.68%
0379,938,672,644,28,71.64%
0380,1065,809,773,36,75.96%
0381,959,699,670,29,72.89%
0382,975,697,673,24,71.49%
0383,1187,862,823,39,72.62%
0384,1145,797,776,21,69.61%
0385,936,715,689,26,76.39%
0386,687,522,509,13,75.98%
0387,848,625,600,25,73.70%
0388,541,441,419,22,81.52%
