Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14365,10504,10199,305,73.12%
0473,1414,1021,991,30,72.21%
0474,831,644,621,23,77.50%
0475,666,504,489,15,75.68%
0476,548,416,402,14,75.91%
0477,1252,912,886,26,72.84%
0478,915,688,673,15,75.19%
0479,605,470,461,9,77.69%
0480,445,369,356,13,82.92%
0481,1171,803,783,20,68.57%
0482,1120,765,755,10,68.30%
0483,456,382,373,9,83.77%
0484,828,514,499,15,62.08%
0485,758,578,546,32,76.25%
0486,1053,708,697,11,67.24%
0487,1156,899,865,34,77.77%
0488,1147,831,802,29,72.45%
