Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14432,9652,9386,266,66.88%
0118,984,680,651,29,69.11%
0119,1130,697,673,24,61.68%
0120,197,122,122,0,61.93%
0121,450,296,284,12,65.78%
0122,354,239,233,6,67.51%
0123,704,483,467,16,68.61%
0124,472,334,333,1,70.76%
0125,684,472,463,9,69.01%
0126,400,259,249,10,64.75%
0127,263,153,148,5,58.17%
0128,199,148,144,4,74.37%
0129,1327,841,818,23,63.38%
0130,723,488,478,10,67.50%
0131,1057,646,631,15,61.12%
0132,1102,749,726,23,67.97%
0133,1059,732,715,17,69.12%
0134,1112,778,763,15,69.96%
0135,885,610,586,24,68.93%
0136,139,96,96,0,69.06%
0137,445,280,269,11,62.92%
0138,314,239,236,3,76.11%
0139,432,310,301,9,71.76%
