Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,11564,7206,7002,204,62.31%
0092,483,247,238,9,51.14%
0093,902,527,511,16,58.43%
0094,339,209,200,9,61.65%
0095,690,416,406,10,60.29%
0096,313,179,177,2,57.19%
0097,927,631,621,10,68.07%
0098,785,553,534,19,70.45%
0099,895,619,610,9,69.16%
0100,936,613,599,14,65.49%
0101,1260,755,735,20,59.92%
0102,1322,839,809,30,63.46%
0103,479,287,278,9,59.92%
0104,783,451,439,12,57.60%
0105,451,266,260,6,58.98%
0106,435,217,200,17,49.89%
0107,326,229,222,7,70.25%
0108,238,168,163,5,70.59%
