Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,9254,5952,5803,149,64.32%
0184,608,397,386,11,65.30%
0185,633,346,339,7,54.66%
0186,558,369,360,9,66.13%
0187,587,382,368,14,65.08%
0188,549,365,355,10,66.48%
0189,907,619,608,11,68.25%
0190,787,486,470,16,61.75%
0191,612,398,391,7,65.03%
0192,705,451,436,15,63.97%
0193,396,250,239,11,63.13%
0194,373,225,224,1,60.32%
0195,819,549,542,7,67.03%
0196,859,524,514,10,61.00%
0197,215,155,149,6,72.09%
0198,646,436,422,14,67.49%
