Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,84393,52462,51218,1244,62.16%
0001,897,400,393,7,44.59%
0002,715,470,453,17,65.73%
0003,1155,744,727,17,64.42%
0004,1036,714,697,17,68.92%
0005,883,582,569,13,65.91%
0006,862,565,553,12,65.55%
0007,1077,679,662,17,63.05%
0008,970,624,613,11,64.33%
0009,887,575,554,21,64.83%
0010,908,614,588,26,67.62%
0011,851,547,520,27,64.28%
0012,916,593,571,22,64.74%
0013,739,468,459,9,63.33%
0014,717,421,416,5,58.72%
0015,789,490,476,14,62.10%
0016,992,597,584,13,60.18%
0017,1031,640,623,17,62.08%
0018,963,610,601,9,63.34%
0019,779,470,463,7,60.33%
0020,1055,626,616,10,59.34%
0021,974,611,605,6,62.73%
0022,1099,663,650,13,60.33%
0023,1124,681,666,15,60.59%
0024,783,498,492,6,63.60%
0025,724,487,483,4,67.27%
0026,1050,664,650,14,63.24%
0027,1311,869,847,22,66.29%
0028,1011,605,597,8,59.84%
0029,1031,611,599,12,59.26%
0030,964,603,586,17,62.55%
0031,1083,652,640,12,60.20%
0032,1118,687,670,17,61.45%
0033,1081,634,622,12,58.65%
0034,830,577,565,12,69.52%
0035,830,563,545,18,67.83%
0036,949,632,614,18,66.60%
0037,1065,619,604,15,58.12%
0038,1093,570,547,23,52.15%
0039,852,554,539,15,65.02%
0040,861,585,575,10,67.94%
0041,1124,736,724,12,65.48%
0042,934,601,588,13,64.35%
0043,868,554,541,13,63.82%
0044,944,560,551,9,59.32%
0045,788,531,517,14,67.39%
0046,822,442,428,14,53.77%
0047,585,303,293,10,51.79%
0048,707,463,450,13,65.49%
0049,594,352,347,5,59.26%
0050,1000,627,620,7,62.70%
0051,897,602,588,14,67.11%
0052,856,514,504,10,60.05%
0053,821,539,526,13,65.65%
0054,813,483,475,8,59.41%
0055,864,492,477,15,56.94%
0056,781,420,408,12,53.78%
0057,1059,624,608,16,58.92%
0058,1014,590,577,13,58.19%
0059,945,561,551,10,59.37%
0060,1288,898,867,31,69.72%
0061,849,495,476,19,58.30%
0062,862,525,509,16,60.90%
0063,875,581,559,22,66.40%
0064,974,572,560,12,58.73%
0065,809,491,487,4,60.69%
0066,867,536,526,10,61.82%
0067,1036,626,608,18,60.42%
0068,935,557,546,11,59.57%
0069,959,613,603,10,63.92%
0070,1054,625,615,10,59.30%
0071,1108,700,689,11,63.18%
0072,1047,620,610,10,59.22%
0073,1146,628,610,18,54.80%
0074,1113,644,629,15,57.86%
0075,1081,621,599,22,57.45%
0076,1059,718,696,22,67.80%
0077,1187,804,787,17,67.73%
0078,605,439,418,21,72.56%
0079,603,405,394,11,67.16%
0080,1126,659,644,15,58.53%
0081,1072,733,716,17,68.38%
0082,778,527,519,8,67.74%
0083,788,492,469,23,62.44%
0084,644,405,401,4,62.89%
0085,642,381,365,16,59.35%
0086,1210,810,789,21,66.94%
0087,650,423,414,9,65.08%
0088,733,492,486,6,67.12%
0089,866,585,574,11,67.55%
0090,1062,559,548,11,52.64%
0091,894,510,498,12,57.05%
