Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,44463,27818,27165,653,62.56%
0304,798,539,527,12,67.54%
0305,758,500,484,16,65.96%
0306,1121,739,727,12,65.92%
0307,864,541,531,10,62.62%
0308,854,640,628,12,74.94%
0309,1353,971,947,24,71.77%
0310,904,641,627,14,70.91%
0311,1008,629,611,18,62.40%
0312,916,539,528,11,58.84%
0313,925,523,514,9,56.54%
0314,1032,716,693,23,69.38%
0315,941,661,647,14,70.24%
0316,670,448,431,17,66.87%
0317,670,460,449,11,68.66%
0318,1475,996,971,25,67.53%
0319,814,512,496,16,62.90%
0320,713,386,378,8,54.14%
0321,734,418,411,7,56.95%
0322,436,288,276,12,66.06%
0323,1182,708,689,19,59.90%
0324,1196,681,676,5,56.94%
0325,1318,753,744,9,57.13%
0326,1134,605,599,6,53.35%
0327,1259,691,674,17,54.88%
0328,903,571,556,15,63.23%
0329,938,548,544,4,58.42%
0330,1289,876,849,27,67.96%
0331,1466,830,817,13,56.62%
0332,894,564,556,8,63.09%
0333,1029,598,593,5,58.11%
0334,1050,585,572,13,55.71%
0335,1308,775,761,14,59.25%
0336,1213,801,772,29,66.03%
0337,1183,719,699,20,60.78%
0338,1247,793,773,20,63.59%
0339,1275,743,730,13,58.27%
0340,1035,644,618,26,62.22%
0341,1233,769,745,24,62.37%
0342,1195,727,695,32,60.84%
0343,955,636,625,11,66.60%
0344,712,468,454,14,65.73%
0345,880,533,524,9,60.57%
0346,857,547,534,13,63.83%
0347,726,506,490,16,69.70%
