District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,374779,240916,235281,5635,64.28%
Yilan City,76650,47035,46014,1021,61.36%
Luodong Township,55126,33378,32775,603,60.55%
Su’ao Township,32600,21674,21174,500,66.48%
Toucheng Township,24249,17452,16870,582,71.97%
Jiaoxi Township,29950,20279,19793,486,67.71%
Zhuangwei Township,21272,14389,13989,400,67.64%
Yuanshan Township,27549,17505,17021,484,63.54%
Dongshan Township,44463,27818,27165,653,62.56%
Wujie Township,34891,21094,20674,420,60.46%
Sanxing Township,18676,12665,12361,304,67.81%
Datong Township,4844,4015,3930,85,82.89%
Nan’ao Township,4509,3612,3515,97,80.11%
