Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,29950,20279,19793,486,67.71%
0212,1023,703,679,24,68.72%
0213,490,341,328,13,69.59%
0214,941,566,555,11,60.15%
0215,957,556,546,10,58.10%
0216,917,556,552,4,60.63%
0217,923,478,476,2,51.79%
0218,964,539,528,11,55.91%
0219,1058,745,724,21,70.42%
0220,786,439,431,8,55.85%
0221,848,487,477,10,57.43%
0222,812,502,493,9,61.82%
0223,591,491,476,15,83.08%
0224,552,404,396,8,73.19%
0225,728,476,465,11,65.38%
0226,1157,848,824,24,73.29%
0227,838,534,527,7,63.72%
0228,559,361,349,12,64.58%
0229,889,576,563,13,64.79%
0230,1148,715,700,15,62.28%
0231,803,557,533,24,69.36%
0232,606,421,404,17,69.47%
0233,903,544,534,10,60.24%
0234,1072,742,714,28,69.22%
0235,802,507,495,12,63.22%
0236,1048,834,814,20,79.58%
0237,596,442,431,11,74.16%
0238,755,519,507,12,68.74%
0239,910,646,632,14,70.99%
0240,832,637,622,15,76.56%
0241,800,610,595,15,76.25%
0242,1037,771,752,19,74.35%
0243,1218,877,858,19,72.00%
0244,1050,756,736,20,72.00%
0245,928,759,741,18,81.79%
0246,409,340,336,4,83.13%
