Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,55126,33378,32775,603,60.55%
0082,623,410,402,8,65.81%
0083,666,371,366,5,55.71%
0084,1507,831,818,13,55.14%
0085,1446,851,824,27,58.85%
0086,1064,575,568,7,54.04%
0087,912,482,477,5,52.85%
0088,1504,946,930,16,62.90%
0089,1147,686,677,9,59.81%
0090,1272,800,791,9,62.89%
0091,805,485,479,6,60.25%
0092,863,519,508,11,60.14%
0093,1413,829,814,15,58.67%
0094,871,561,557,4,64.41%
0095,1247,760,741,19,60.95%
0096,1436,935,916,19,65.11%
0097,1086,653,640,13,60.13%
0098,945,565,557,8,59.79%
0099,1290,847,829,18,65.66%
0100,993,617,606,11,62.13%
0101,1256,783,767,16,62.34%
0102,1213,702,694,8,57.87%
0103,1021,645,635,10,63.17%
0104,915,564,556,8,61.64%
0105,935,594,587,7,63.53%
0106,1372,821,810,11,59.84%
0107,1362,835,824,11,61.31%
0108,998,615,602,13,61.62%
0109,828,493,482,11,59.54%
0110,789,409,398,11,51.84%
0111,1069,596,576,20,55.75%
0112,1103,690,682,8,62.56%
0113,1061,646,633,13,60.89%
0114,932,562,549,13,60.30%
0115,1349,820,805,15,60.79%
0116,992,571,564,7,57.56%
0117,996,555,547,8,55.72%
0118,1305,745,731,14,57.09%
0119,1204,734,725,9,60.96%
0120,1044,504,496,8,48.28%
0121,994,660,640,20,66.40%
0122,1027,653,639,14,63.58%
0123,762,474,466,8,62.20%
0124,1328,867,844,23,65.29%
0125,840,539,528,11,64.17%
0126,1094,647,632,15,59.14%
0127,918,558,550,8,60.78%
0128,926,578,565,13,62.42%
0129,891,545,534,11,61.17%
0130,1360,895,884,11,65.81%
0131,1022,648,638,10,63.41%
0132,1130,707,692,15,62.57%
