Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,18676,12665,12361,304,67.81%
0387,216,178,174,4,82.41%
0388,447,322,313,9,72.04%
0389,732,580,570,10,79.23%
0390,569,375,363,12,65.91%
0391,510,365,349,16,71.57%
0392,720,554,538,16,76.94%
0393,570,459,451,8,80.53%
0394,437,344,333,11,78.72%
0395,1126,706,687,19,62.70%
0396,1100,716,702,14,65.09%
0397,821,595,582,13,72.47%
0398,1324,733,714,19,55.36%
0399,892,610,585,25,68.39%
0400,942,581,572,9,61.68%
0401,1051,647,636,11,61.56%
0402,1055,702,689,13,66.54%
0403,1198,806,784,22,67.28%
0404,1242,882,861,21,71.01%
0405,748,549,536,13,73.40%
0406,810,577,567,10,71.23%
0407,751,531,518,13,70.71%
0408,649,396,388,8,61.02%
0409,766,457,449,8,59.66%
