Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,32600,21674,21174,500,66.48%
0133,895,563,560,3,62.91%
0134,769,530,520,10,68.92%
0135,760,516,501,15,67.89%
0136,827,570,561,9,68.92%
0137,992,737,717,20,74.29%
0138,1068,696,677,19,65.17%
0139,963,639,625,14,66.36%
0140,881,578,572,6,65.61%
0141,735,487,470,17,66.26%
0142,519,393,382,11,75.72%
0143,292,235,223,12,80.48%
0144,819,587,576,11,71.67%
0145,385,283,275,8,73.51%
0146,1048,657,637,20,62.69%
0147,1040,669,655,14,64.33%
0148,961,616,598,18,64.10%
0149,1033,752,741,11,72.80%
0150,422,303,299,4,71.80%
0151,728,447,446,1,61.40%
0152,806,488,478,10,60.55%
0153,1053,636,621,15,60.40%
0154,519,344,336,8,66.28%
0155,838,532,516,16,63.48%
0156,800,536,526,10,67.00%
0157,816,504,499,5,61.76%
0158,602,342,335,7,56.81%
0159,765,488,488,0,63.79%
0160,945,663,644,19,70.16%
0161,414,287,280,7,69.32%
0162,469,326,313,13,69.51%
0163,487,380,372,8,78.03%
0164,406,278,273,5,68.47%
0165,536,321,310,11,59.89%
0166,426,320,311,9,75.12%
0167,857,611,598,13,71.30%
0168,827,535,523,12,64.69%
0169,459,269,261,8,58.61%
0170,533,318,306,12,59.66%
0171,673,440,433,7,65.38%
0172,646,375,362,13,58.05%
0173,959,617,599,18,64.34%
0174,587,389,382,7,66.27%
0175,502,349,337,12,69.52%
0176,312,272,270,2,87.18%
0177,674,455,438,17,67.51%
0178,347,221,215,6,63.69%
0179,205,120,113,7,58.54%
