Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,24249,17452,16870,582,71.97%
0180,290,242,233,9,83.45%
0181,654,426,410,16,65.14%
0182,678,546,516,30,80.53%
0183,848,640,621,19,75.47%
0184,330,231,224,7,70.00%
0185,618,455,443,12,73.62%
0186,695,491,481,10,70.65%
0187,850,655,623,32,77.06%
0188,674,480,465,15,71.22%
0189,841,574,548,26,68.25%
0190,718,503,478,25,70.06%
0191,759,574,554,20,75.63%
0192,532,392,377,15,73.68%
0193,675,552,536,16,81.78%
0194,461,376,367,9,81.56%
0195,491,399,391,8,81.26%
0196,613,419,403,16,68.35%
0197,1012,656,636,20,64.82%
0198,998,616,597,19,61.72%
0199,837,544,533,11,64.99%
0200,1147,707,692,15,61.64%
0201,896,624,612,12,69.64%
0202,1176,792,763,29,67.35%
0203,906,706,680,26,77.92%
0204,1003,679,659,20,67.70%
0205,677,450,424,26,66.47%
0206,680,576,562,14,84.71%
0207,562,422,412,10,75.09%
0208,703,527,509,18,74.96%
0209,883,673,651,22,76.22%
0210,983,732,708,24,74.47%
0211,1059,793,762,31,74.88%
