Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,34891,21094,20674,420,60.46%
0348,1083,703,686,17,64.91%
0349,962,615,605,10,63.93%
0350,928,557,544,13,60.02%
0351,956,571,561,10,59.73%
0352,777,452,445,7,58.17%
0353,887,549,541,8,61.89%
0354,948,649,635,14,68.46%
0355,748,495,484,11,66.18%
0356,800,472,463,9,59.00%
0357,732,442,432,10,60.38%
0358,624,350,347,3,56.09%
0359,585,322,317,5,55.04%
0360,924,577,568,9,62.45%
0361,993,622,615,7,62.64%
0362,944,608,601,7,64.41%
0363,816,473,468,5,57.97%
0364,915,493,487,6,53.88%
0365,924,626,609,17,67.75%
0366,923,505,500,5,54.71%
0367,859,489,470,19,56.93%
0368,1098,656,643,13,59.74%
0369,911,560,547,13,61.47%
0370,1185,622,614,8,52.49%
0371,886,503,493,10,56.77%
0372,890,479,471,8,53.82%
0373,1077,601,587,14,55.80%
0374,790,429,420,9,54.30%
0375,805,479,468,11,59.50%
0376,784,541,526,15,69.01%
0377,605,442,429,13,73.06%
0378,773,538,533,5,69.60%
0379,884,503,490,13,56.90%
0380,1003,594,579,15,59.22%
0381,1103,591,576,15,53.58%
0382,1174,801,785,16,68.23%
0383,897,512,501,11,57.08%
0384,828,542,532,10,65.46%
0385,1203,700,682,18,58.19%
0386,667,431,420,11,64.62%
