Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,76650,47035,46014,1021,61.36%
0001,1038,626,613,13,60.31%
0002,998,628,610,18,62.93%
0003,797,454,445,9,56.96%
0004,697,431,418,13,61.84%
0005,986,529,518,11,53.65%
0006,882,479,466,13,54.31%
0007,890,486,478,8,54.61%
0008,975,592,583,9,60.72%
0009,950,557,542,15,58.63%
0010,1081,644,631,13,59.57%
0011,993,569,561,8,57.30%
0012,1042,647,635,12,62.09%
0013,1087,655,644,11,60.26%
0014,1302,764,750,14,58.68%
0015,1254,750,726,24,59.81%
0016,855,491,480,11,57.43%
0017,911,545,534,11,59.82%
0018,1096,684,669,15,62.41%
0019,839,520,514,6,61.98%
0020,757,459,441,18,60.63%
0021,914,540,530,10,59.08%
0022,999,440,434,6,44.04%
0023,690,417,412,5,60.43%
0024,593,356,350,6,60.03%
0025,856,479,469,10,55.96%
0026,900,457,447,10,50.78%
0027,729,528,514,14,72.43%
0028,631,433,425,8,68.62%
0029,743,502,488,14,67.56%
0030,1125,771,750,21,68.53%
0031,927,541,528,13,58.36%
0032,1256,864,849,15,68.79%
0033,1361,804,786,18,59.07%
0034,992,589,578,11,59.38%
0035,1121,625,618,7,55.75%
0036,1213,745,732,13,61.42%
0037,804,528,519,9,65.67%
0038,983,625,617,8,63.58%
0039,869,532,517,15,61.22%
0040,936,547,535,12,58.44%
0041,1041,663,654,9,63.69%
0042,1095,617,605,12,56.35%
0043,1048,641,631,10,61.16%
0044,768,484,476,8,63.02%
0045,1097,693,674,19,63.17%
0046,1071,598,589,9,55.84%
0047,1024,656,637,19,64.06%
0048,1093,701,686,15,64.14%
0049,1091,657,647,10,60.22%
0050,925,509,497,12,55.03%
0051,960,559,552,7,58.23%
0052,916,586,573,13,63.97%
0053,922,607,594,13,65.84%
0054,741,533,517,16,71.93%
0055,660,436,420,16,66.06%
0056,1084,730,710,20,67.34%
0057,905,559,548,11,61.77%
0058,760,491,482,9,64.61%
0059,752,490,481,9,65.16%
0060,1290,805,790,15,62.40%
0061,879,471,464,7,53.58%
0062,855,490,480,10,57.31%
0063,1177,683,671,12,58.03%
0064,768,447,444,3,58.20%
0065,791,463,451,12,58.53%
0066,864,554,537,17,64.12%
0067,794,531,520,11,66.88%
0068,1103,698,680,18,63.28%
0069,1085,665,653,12,61.29%
0070,944,607,592,15,64.30%
0071,1074,647,624,23,60.24%
0072,1063,704,691,13,66.23%
0073,930,605,592,13,65.05%
0074,1152,736,716,20,63.89%
0075,982,648,625,23,65.99%
0076,544,349,342,7,64.15%
0077,683,428,419,9,62.66%
0078,866,569,548,21,65.70%
0079,801,537,526,11,67.04%
0080,887,595,582,13,67.08%
0081,1093,760,738,22,69.53%
