Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,27549,17505,17021,484,63.54%
0271,1408,850,839,11,60.37%
0272,873,515,503,12,58.99%
0273,1264,802,781,21,63.45%
0274,1157,672,659,13,58.08%
0275,1057,644,624,20,60.93%
0276,987,682,667,15,69.10%
0277,1138,727,715,12,63.88%
0278,897,633,618,15,70.57%
0279,747,537,520,17,71.89%
0280,725,502,487,15,69.24%
0281,730,539,520,19,73.84%
0282,997,599,588,11,60.08%
0283,888,540,527,13,60.81%
0284,1230,764,739,25,62.11%
0285,566,377,363,14,66.61%
0286,841,555,535,20,65.99%
0287,361,232,224,8,64.27%
0288,203,107,103,4,52.71%
0289,879,483,476,7,54.95%
0290,876,498,474,24,56.85%
0291,584,410,398,12,70.21%
0292,665,421,412,9,63.31%
0293,743,481,465,16,64.74%
0294,903,614,595,19,68.00%
0295,541,315,308,7,58.23%
0296,826,471,459,12,57.02%
0297,707,361,357,4,51.06%
0298,785,387,381,6,49.30%
0299,840,569,554,15,67.74%
0300,897,648,621,27,72.24%
0301,952,686,657,29,72.06%
0302,621,424,411,13,68.28%
0303,661,460,441,19,69.59%
