Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,21272,14389,13989,400,67.64%
0247,916,588,568,20,64.19%
0248,770,478,464,14,62.08%
0249,910,592,577,15,65.05%
0250,1100,823,791,32,74.82%
0251,918,567,548,19,61.76%
0252,976,571,555,16,58.50%
0253,897,611,590,21,68.12%
0254,917,707,681,26,77.10%
0255,773,570,562,8,73.74%
0256,796,600,587,13,75.38%
0257,704,496,483,13,70.45%
0258,731,515,495,20,70.45%
0259,773,635,619,16,82.15%
0260,886,485,474,11,54.74%
0261,720,428,421,7,59.44%
0262,737,441,431,10,59.84%
0263,714,383,373,10,53.64%
0264,819,431,425,6,52.63%
0265,1244,918,886,32,73.79%
0266,1112,803,783,20,72.21%
0267,1127,827,810,17,73.38%
0268,1058,808,785,23,76.37%
0269,893,555,541,14,62.15%
0270,781,557,540,17,71.32%
