Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,31872,21619,21060,559,67.83%
0278,671,510,493,17,76.01%
0279,655,535,522,13,81.68%
0280,406,283,275,8,69.70%
0281,770,558,550,8,72.47%
0282,318,222,214,8,69.81%
0283,360,242,235,7,67.22%
0284,350,274,266,8,78.29%
0285,876,572,557,15,65.30%
0286,425,290,280,10,68.24%
0287,289,207,199,8,71.63%
0288,491,331,324,7,67.41%
0289,398,268,261,7,67.34%
0290,688,459,450,9,66.72%
0291,398,295,285,10,74.12%
0292,1087,737,721,16,67.80%
0293,1142,754,734,20,66.02%
0294,1123,737,722,15,65.63%
0295,1255,862,839,23,68.69%
0296,664,443,436,7,66.72%
0297,933,621,611,10,66.56%
0298,916,604,586,18,65.94%
0299,454,357,347,10,78.63%
0300,1326,855,834,21,64.48%
0301,1054,665,655,10,63.09%
0302,743,468,461,7,62.99%
0303,772,514,506,8,66.58%
0304,1091,677,662,15,62.05%
0305,1105,704,691,13,63.71%
0306,1079,698,683,15,64.69%
0307,507,310,302,8,61.14%
0308,426,302,297,5,70.89%
0309,385,327,313,14,84.94%
0310,762,494,481,13,64.83%
0311,575,431,410,21,74.96%
0312,695,460,444,16,66.19%
0313,1073,727,701,26,67.75%
0314,725,452,433,19,62.34%
0315,529,381,366,15,72.02%
0316,981,713,693,20,72.68%
0317,546,424,412,12,77.66%
0318,854,562,538,24,65.81%
0319,986,632,623,9,64.10%
0320,989,662,648,14,66.94%
