Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,23377,16280,15928,352,69.64%
0407,961,607,598,9,63.16%
0408,869,510,500,10,58.69%
0409,934,646,630,16,69.16%
0410,1261,826,810,16,65.50%
0411,811,643,625,18,79.28%
0412,731,484,475,9,66.21%
0413,725,451,438,13,62.21%
0414,544,379,370,9,69.67%
0415,564,439,435,4,77.84%
0416,1023,715,697,18,69.89%
0417,982,720,703,17,73.32%
0418,957,680,667,13,71.06%
0419,1056,731,715,16,69.22%
0420,887,601,586,15,67.76%
0421,1013,643,632,11,63.47%
0422,1183,913,894,19,77.18%
0423,830,637,624,13,76.75%
0424,968,721,703,18,74.48%
0425,1092,735,717,18,67.31%
0426,813,534,518,16,65.68%
0427,837,544,528,16,64.99%
0428,877,603,595,8,68.76%
0429,505,371,366,5,73.47%
0430,430,304,297,7,70.70%
0431,812,549,535,14,67.61%
0432,1096,802,790,12,73.18%
0433,616,492,480,12,79.87%
