Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,15748,11436,11187,249,72.62%
0532,704,493,476,17,70.03%
0533,666,498,493,5,74.77%
0534,560,377,372,5,67.32%
0535,1012,724,708,16,71.54%
0536,912,657,646,11,72.04%
0537,569,420,408,12,73.81%
0538,580,443,430,13,76.38%
0539,921,691,682,9,75.03%
0540,864,636,618,18,73.61%
0541,549,433,420,13,78.87%
0542,957,638,628,10,66.67%
0543,673,439,425,14,65.23%
0544,794,579,571,8,72.92%
0545,430,319,313,6,74.19%
0546,1257,928,906,22,73.83%
0547,488,335,325,10,68.65%
0548,1141,834,816,18,73.09%
0549,709,516,511,5,72.78%
0550,650,498,490,8,76.62%
0551,642,515,500,15,80.22%
0552,670,463,449,14,69.10%
