Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12218,8913,8599,314,72.95%
0061,1103,725,708,17,65.73%
0062,510,376,371,5,73.73%
0063,828,610,578,32,73.67%
0064,638,477,456,21,74.76%
0065,830,620,594,26,74.70%
0066,566,392,380,12,69.26%
0067,1121,827,806,21,73.77%
0068,767,605,581,24,78.88%
0069,544,459,438,21,84.38%
0070,788,569,560,9,72.21%
0071,772,553,527,26,71.63%
0072,874,692,674,18,79.18%
0073,965,741,703,38,76.79%
0074,551,384,370,14,69.69%
0075,380,247,239,8,65.00%
0076,981,636,614,22,64.83%
