Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,87569,55923,54928,995,63.86%
0450,577,405,398,7,70.19%
0451,533,377,369,8,70.73%
0452,728,504,494,10,69.23%
0453,756,533,518,15,70.50%
0454,674,453,442,11,67.21%
0455,877,523,516,7,59.64%
0456,866,551,541,10,63.63%
0457,969,500,490,10,51.60%
0458,859,556,547,9,64.73%
0459,1180,801,788,13,67.88%
0460,1021,670,664,6,65.62%
0461,1094,649,639,10,59.32%
0462,1109,687,674,13,61.95%
0463,1588,971,955,16,61.15%
0464,1242,772,754,18,62.16%
0465,788,522,509,13,66.24%
0466,1037,670,660,10,64.61%
0467,951,605,588,17,63.62%
0468,1540,937,924,13,60.84%
0469,1100,657,642,15,59.73%
0470,1131,708,698,10,62.60%
0471,720,447,441,6,62.08%
0472,750,529,518,11,70.53%
0473,933,579,568,11,62.06%
0474,1127,732,725,7,64.95%
0475,1321,894,877,17,67.68%
0476,1018,685,675,10,67.29%
0477,830,544,532,12,65.54%
0478,1106,638,633,5,57.69%
0479,1086,629,610,19,57.92%
0480,1396,831,816,15,59.53%
0481,1350,874,854,20,64.74%
0482,1107,772,754,18,69.74%
0483,1163,700,678,22,60.19%
0484,1407,946,934,12,67.24%
0485,1273,770,759,11,60.49%
0486,1345,826,814,12,61.41%
0487,1152,734,723,11,63.72%
0488,1391,893,881,12,64.20%
0489,1021,658,644,14,64.45%
0490,1211,758,753,5,62.59%
0491,1089,652,645,7,59.87%
0492,803,498,494,4,62.02%
0493,1356,855,840,15,63.05%
0494,956,657,643,14,68.72%
0495,742,492,485,7,66.31%
0496,1443,982,961,21,68.05%
0497,1086,671,656,15,61.79%
0498,1299,792,775,17,60.97%
0499,628,445,438,7,70.86%
0500,730,509,502,7,69.73%
0501,1410,776,758,18,55.04%
0502,516,320,316,4,62.02%
0503,1375,883,870,13,64.22%
0504,943,604,600,4,64.05%
0505,1885,1199,1189,10,63.61%
0506,1595,1002,981,21,62.82%
0507,1027,656,642,14,63.88%
0508,667,449,442,7,67.32%
0509,1431,894,882,12,62.47%
0510,1370,927,914,13,67.66%
0511,1230,760,740,20,61.79%
0512,1270,828,817,11,65.20%
0513,1359,886,860,26,65.19%
0514,483,323,317,6,66.87%
0515,1051,676,665,11,64.32%
0516,1053,667,657,10,63.34%
0517,1057,593,580,13,56.10%
0518,1104,700,683,17,63.41%
0519,1045,661,653,8,63.25%
0520,885,620,609,11,70.06%
0521,1220,776,757,19,63.61%
0522,653,473,467,6,72.43%
0523,1114,730,719,11,65.53%
0524,1057,770,754,16,72.85%
0525,1396,978,960,18,70.06%
0526,1021,684,671,13,66.99%
0527,667,439,427,12,65.82%
0528,1058,664,650,14,62.76%
0529,1086,649,638,11,59.76%
0530,982,560,548,12,57.03%
0531,1100,733,724,9,66.64%
