Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,36547,24863,24376,487,68.03%
0553,1088,790,780,10,72.61%
0554,1088,741,723,18,68.11%
0555,942,565,557,8,59.98%
0556,910,617,603,14,67.80%
0557,951,626,620,6,65.83%
0558,931,583,570,13,62.62%
0559,1125,687,676,11,61.07%
0560,978,606,594,12,61.96%
0561,1381,952,933,19,68.94%
0562,1181,846,826,20,71.63%
0563,1250,876,864,12,70.08%
0564,719,562,547,15,78.16%
0565,777,556,547,9,71.56%
0566,826,604,591,13,73.12%
0567,688,467,452,15,67.88%
0568,1075,829,815,14,77.12%
0569,826,601,588,13,72.76%
0570,804,518,508,10,64.43%
0571,1253,861,839,22,68.72%
0572,1303,840,823,17,64.47%
0573,1077,718,707,11,66.67%
0574,1117,695,683,12,62.22%
0575,1104,742,725,17,67.21%
0576,880,568,555,13,64.55%
0577,1303,851,843,8,65.31%
0578,844,621,610,11,73.58%
0579,772,579,570,9,75.00%
0580,802,555,541,14,69.20%
0581,798,554,541,13,69.42%
0582,613,453,443,10,73.90%
0583,920,615,595,20,66.85%
0584,1325,876,865,11,66.11%
0585,1410,899,887,12,63.76%
0586,1175,803,780,23,68.34%
0587,927,623,612,11,67.21%
0588,1384,984,963,21,71.10%
