Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,21918,14206,13893,313,64.81%
0342,818,558,549,9,68.22%
0343,582,393,376,17,67.53%
0344,900,624,613,11,69.33%
0345,769,520,511,9,67.62%
0346,583,388,380,8,66.55%
0347,930,619,599,20,66.56%
0348,418,241,234,7,57.66%
0349,986,588,578,10,59.63%
0350,1096,782,763,19,71.35%
0351,981,629,620,9,64.12%
0352,792,568,559,9,71.72%
0353,834,615,597,18,73.74%
0354,778,496,482,14,63.75%
0355,575,361,351,10,62.78%
0356,830,488,471,17,58.80%
0357,709,449,444,5,63.33%
0358,626,390,380,10,62.30%
0359,772,536,521,15,69.43%
0360,1085,625,618,7,57.60%
0361,621,393,392,1,63.29%
0362,794,477,466,11,60.08%
0363,1008,656,642,14,65.08%
0364,643,374,364,10,58.16%
0365,1173,796,776,20,67.86%
0366,867,466,453,13,53.75%
0367,790,524,513,11,66.33%
0368,958,650,641,9,67.85%
