Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,26201,17735,17311,424,67.69%
0589,1037,693,683,10,66.83%
0590,923,642,615,27,69.56%
0591,725,561,547,14,77.38%
0592,686,502,486,16,73.18%
0593,900,598,582,16,66.44%
0594,1091,711,694,17,65.17%
0595,1009,585,573,12,57.98%
0596,1048,767,750,17,73.19%
0597,285,187,182,5,65.61%
0598,1084,835,808,27,77.03%
0599,1145,763,743,20,66.64%
0600,1044,741,724,17,70.98%
0601,1089,722,703,19,66.30%
0602,1096,715,693,22,65.24%
0603,910,596,585,11,65.49%
0604,1090,720,707,13,66.06%
0605,1569,1121,1105,16,71.45%
0606,678,448,431,17,66.08%
0607,957,604,594,10,63.11%
0608,1081,691,679,12,63.92%
0609,1056,681,662,19,64.49%
0610,910,591,578,13,64.95%
0611,712,486,475,11,68.26%
0612,1186,809,795,14,68.21%
0613,254,172,170,2,67.72%
0614,666,438,420,18,65.77%
0615,1025,661,645,16,64.49%
0616,429,341,334,7,79.49%
0617,516,354,348,6,68.60%
