Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,56761,37056,36220,836,65.28%
0121,1257,810,788,22,64.44%
0122,1168,721,708,13,61.73%
0123,699,445,438,7,63.66%
0124,902,468,457,11,51.88%
0125,950,588,581,7,61.89%
0126,854,548,534,14,64.17%
0127,855,547,536,11,63.98%
0128,1174,670,658,12,57.07%
0129,1198,761,749,12,63.52%
0130,869,584,572,12,67.20%
0131,943,593,582,11,62.88%
0132,996,620,604,16,62.25%
0133,1090,647,627,20,59.36%
0134,1115,698,687,11,62.60%
0135,1196,792,771,21,66.22%
0136,1200,715,703,12,59.58%
0137,1280,820,809,11,64.06%
0138,1102,737,721,16,66.88%
0139,1064,665,651,14,62.50%
0140,1187,749,740,9,63.10%
0141,1110,688,680,8,61.98%
0142,1253,803,792,11,64.09%
0143,991,622,609,13,62.76%
0144,1286,798,779,19,62.05%
0145,1294,754,742,12,58.27%
0146,1131,709,680,29,62.69%
0147,1098,773,764,9,70.40%
0148,857,569,561,8,66.39%
0149,1080,761,748,13,70.46%
0150,485,311,300,11,64.12%
0151,1330,914,899,15,68.72%
0152,1200,869,851,18,72.42%
0153,809,565,555,10,69.84%
0154,828,535,514,21,64.61%
0155,858,531,521,10,61.89%
0156,795,584,569,15,73.46%
0157,792,580,573,7,73.23%
0158,1110,715,689,26,64.41%
0159,1126,675,664,11,59.95%
0160,1229,822,802,20,66.88%
0161,1221,807,783,24,66.09%
0162,1018,735,717,18,72.20%
0163,1259,905,891,14,71.88%
0164,1191,847,828,19,71.12%
0165,1272,926,901,25,72.80%
0166,565,454,447,7,80.35%
0167,891,693,679,14,77.78%
0168,1172,834,802,32,71.16%
0169,1411,1014,979,35,71.86%
0170,874,566,542,24,64.76%
0171,930,584,562,22,62.80%
0172,1091,532,520,12,48.76%
0173,808,526,505,21,65.10%
0174,1297,877,856,21,67.62%
