Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,22664,15319,14818,501,67.59%
0226,1060,771,736,35,72.74%
0227,1156,811,786,25,70.16%
0228,613,466,449,17,76.02%
0229,665,477,464,13,71.73%
0230,857,602,581,21,70.25%
0231,954,688,668,20,72.12%
0232,1344,740,717,23,55.06%
0233,806,456,441,15,56.58%
0234,1118,698,679,19,62.43%
0235,701,442,424,18,63.05%
0236,731,458,441,17,62.65%
0237,1390,971,938,33,69.86%
0238,480,276,260,16,57.50%
0239,1410,819,799,20,58.09%
0240,797,563,546,17,70.64%
0241,346,277,270,7,80.06%
0242,719,551,528,23,76.63%
0243,745,603,585,18,80.94%
0244,853,592,570,22,69.40%
0245,882,600,585,15,68.03%
0246,820,583,575,8,71.10%
0247,1114,826,788,38,74.15%
0248,898,622,610,12,69.27%
0249,655,454,444,10,69.31%
0250,951,630,603,27,66.25%
0251,599,343,331,12,57.26%
