Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14538,10505,10272,233,72.26%
0434,954,700,680,20,73.38%
0435,1191,818,797,21,68.68%
0436,834,573,565,8,68.71%
0437,787,537,520,17,68.23%
0438,628,440,434,6,70.06%
0439,1323,941,920,21,71.13%
0440,681,490,484,6,71.95%
0441,479,371,362,9,77.45%
0442,778,567,552,15,72.88%
0443,1274,940,921,19,73.78%
0444,1226,859,842,17,70.07%
0445,606,483,465,18,79.70%
0446,1067,761,744,17,71.32%
0447,993,739,727,12,74.42%
0448,906,694,679,15,76.60%
0449,811,592,580,12,73.00%
