Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19807,12993,12659,334,65.60%
0321,1067,722,708,14,67.67%
0322,1392,941,914,27,67.60%
0323,1086,710,689,21,65.38%
0324,1144,812,797,15,70.98%
0325,1025,661,647,14,64.49%
0326,948,541,523,18,57.07%
0327,929,637,617,20,68.57%
0328,1043,682,669,13,65.39%
0329,1218,758,749,9,62.23%
0330,968,636,617,19,65.70%
0331,970,655,639,16,67.53%
0332,740,517,506,11,69.86%
0333,648,454,440,14,70.06%
0334,777,538,522,16,69.24%
0335,818,496,487,9,60.64%
0336,799,456,437,19,57.07%
0337,633,438,426,12,69.19%
0338,699,485,473,12,69.38%
0339,1054,646,622,24,61.29%
0340,1137,680,662,18,59.81%
0341,712,528,515,13,74.16%
