Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,39070,26315,25385,930,67.35%
0001,1343,885,856,29,65.90%
0002,1230,778,750,28,63.25%
0003,1285,843,823,20,65.60%
0004,1495,964,925,39,64.48%
0005,1068,780,753,27,73.03%
0006,1035,657,639,18,63.48%
0007,1124,733,711,22,65.21%
0008,942,603,586,17,64.01%
0009,1176,779,761,18,66.24%
0010,990,551,531,20,55.66%
0011,728,479,443,36,65.80%
0012,1235,847,823,24,68.58%
0013,1194,737,709,28,61.73%
0014,999,649,629,20,64.96%
0015,683,467,449,18,68.37%
0016,1224,780,757,23,63.73%
0017,988,631,604,27,63.87%
0018,1074,665,646,19,61.92%
0019,925,557,538,19,60.22%
0020,1020,641,616,25,62.84%
0021,795,487,467,20,61.26%
0022,729,484,469,15,66.39%
0023,1001,604,574,30,60.34%
0024,1131,716,690,26,63.31%
0025,1347,896,861,35,66.52%
0026,1360,884,845,39,65.00%
0027,1204,817,798,19,67.86%
0028,974,688,658,30,70.64%
0029,892,613,594,19,68.72%
0030,910,617,604,13,67.80%
0031,1147,917,878,39,79.95%
0032,1084,809,776,33,74.63%
0033,1133,914,870,44,80.67%
0034,1408,1079,1060,19,76.63%
0035,1171,954,921,33,81.47%
0036,1026,810,771,39,78.95%
