Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,20643,14092,13603,489,68.27%
0252,1225,763,737,26,62.29%
0253,820,534,522,12,65.12%
0254,1202,850,833,17,70.72%
0255,713,513,495,18,71.95%
0256,649,493,467,26,75.96%
0257,651,540,525,15,82.95%
0258,930,633,610,23,68.06%
0259,756,534,510,24,70.63%
0260,994,778,746,32,78.27%
0261,615,425,412,13,69.11%
0262,893,622,604,18,69.65%
0263,570,401,380,21,70.35%
0264,561,315,300,15,56.15%
0265,920,571,553,18,62.07%
0266,567,341,332,9,60.14%
0267,858,483,467,16,56.29%
0268,902,656,635,21,72.73%
0269,741,514,495,19,69.37%
0270,941,677,650,27,71.94%
0271,471,369,356,13,78.34%
0272,603,423,404,19,70.15%
0273,630,390,376,14,61.90%
0274,633,378,364,14,59.72%
0275,911,578,560,18,63.45%
0276,1132,703,679,24,62.10%
0277,755,608,591,17,80.53%
