Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19445,12950,12435,515,66.60%
0175,997,670,648,22,67.20%
0176,663,490,472,18,73.91%
0177,825,596,576,20,72.24%
0178,440,296,286,10,67.27%
0179,874,656,634,22,75.06%
0180,597,405,390,15,67.84%
0181,911,717,694,23,78.70%
0182,843,557,536,21,66.07%
0183,833,658,635,23,78.99%
0184,689,509,484,25,73.88%
0185,1121,719,687,32,64.14%
0186,863,498,480,18,57.71%
0187,706,482,451,31,68.27%
0188,506,279,269,10,55.14%
0189,799,434,420,14,54.32%
0190,352,267,260,7,75.85%
0191,827,594,575,19,71.83%
0192,778,570,547,23,73.26%
0193,765,451,418,33,58.95%
0194,643,376,357,19,58.48%
0195,841,575,548,27,68.37%
0196,972,620,603,17,63.79%
0197,979,646,614,32,65.99%
0198,908,486,468,18,53.52%
0199,713,399,383,16,55.96%
