Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19628,13665,13136,529,69.62%
0037,1181,804,781,23,68.08%
0038,1053,774,749,25,73.50%
0039,1068,829,793,36,77.62%
0040,958,603,574,29,62.94%
0041,940,670,646,24,71.28%
0042,787,522,504,18,66.33%
0043,671,458,425,33,68.26%
0044,697,519,500,19,74.46%
0045,1073,730,702,28,68.03%
0046,666,427,410,17,64.11%
0047,586,438,428,10,74.74%
0048,426,269,261,8,63.15%
0049,641,490,467,23,76.44%
0050,1182,853,824,29,72.17%
0051,524,387,371,16,73.85%
0052,999,725,697,28,72.57%
0053,435,288,277,11,66.21%
0054,747,508,487,21,68.01%
0055,533,355,338,17,66.60%
0056,997,669,636,33,67.10%
0057,931,633,609,24,67.99%
0058,886,522,506,16,58.92%
0059,1102,783,757,26,71.05%
0060,545,409,394,15,75.05%
