Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,23216,16073,15563,510,69.23%
0091,737,535,516,19,72.59%
0092,827,582,566,16,70.37%
0093,616,416,404,12,67.53%
0094,670,494,482,12,73.73%
0095,1036,751,734,17,72.49%
0096,651,502,487,15,77.11%
0097,407,328,317,11,80.59%
0098,899,597,580,17,66.41%
0099,959,632,614,18,65.90%
0100,952,640,621,19,67.23%
0101,593,424,414,10,71.50%
0102,746,496,480,16,66.49%
0103,697,428,416,12,61.41%
0104,518,348,339,9,67.18%
0105,659,420,412,8,63.73%
0106,491,348,339,9,70.88%
0107,1135,781,741,40,68.81%
0108,1059,728,709,19,68.74%
0109,783,578,560,18,73.82%
0110,660,444,423,21,67.27%
0111,833,647,621,26,77.67%
0112,854,657,626,31,76.93%
0113,943,728,707,21,77.20%
0114,852,562,552,10,65.96%
0115,831,552,529,23,66.43%
0116,852,530,512,18,62.21%
0117,836,519,505,14,62.08%
0118,784,499,479,20,63.65%
0119,708,477,463,14,67.37%
0120,628,430,415,15,68.47%
