Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,36540,24593,24107,486,67.30%
0369,716,475,465,10,66.34%
0370,737,513,501,12,69.61%
0371,781,517,501,16,66.20%
0372,875,577,566,11,65.94%
0373,997,700,690,10,70.21%
0374,982,649,642,7,66.09%
0375,942,645,637,8,68.47%
0376,817,570,563,7,69.77%
0377,1033,661,650,11,63.99%
0378,298,221,216,5,74.16%
0379,521,329,320,9,63.15%
0380,545,396,390,6,72.66%
0381,969,639,627,12,65.94%
0382,1436,955,937,18,66.50%
0383,1375,859,853,6,62.47%
0384,1062,649,637,12,61.11%
0385,1088,656,648,8,60.29%
0386,1071,669,661,8,62.46%
0387,1252,774,768,6,61.82%
0388,1218,797,779,18,65.44%
0389,1409,899,885,14,63.80%
0390,785,558,547,11,71.08%
0391,737,526,513,13,71.37%
0392,836,525,511,14,62.80%
0393,901,624,606,18,69.26%
0394,1411,992,955,37,70.30%
0395,820,618,601,17,75.37%
0396,907,624,613,11,68.80%
0397,1253,839,822,17,66.96%
0398,684,474,463,11,69.30%
0399,782,619,612,7,79.16%
0400,846,630,613,17,74.47%
0401,1283,919,898,21,71.63%
0402,934,619,599,20,66.27%
0403,1082,672,660,12,62.11%
0404,912,630,614,16,69.08%
0405,823,537,525,12,65.25%
0406,1420,1037,1019,18,73.03%
