Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,20952,14191,13681,510,67.73%
0200,861,514,501,13,59.70%
0201,1238,848,821,27,68.50%
0202,1060,658,635,23,62.08%
0203,666,425,410,15,63.81%
0204,743,446,439,7,60.03%
0205,1251,805,780,25,64.35%
0206,672,505,487,18,75.15%
0207,884,553,533,20,62.56%
0208,977,636,606,30,65.10%
0209,837,538,530,8,64.28%
0210,701,479,462,17,68.33%
0211,546,372,360,12,68.13%
0212,795,563,543,20,70.82%
0213,321,204,200,4,63.55%
0214,1069,691,667,24,64.64%
0215,536,370,356,14,69.03%
0216,879,627,600,27,71.33%
0217,906,605,591,14,66.78%
0218,795,623,592,31,78.36%
0219,1066,722,697,25,67.73%
0220,775,570,549,21,73.55%
0221,614,418,396,22,68.08%
0222,778,526,499,27,67.61%
0223,548,407,394,13,74.27%
0224,768,610,579,31,79.43%
0225,666,476,454,22,71.47%
